[BROUILLON INTERMÉDIAIRE OBSOLÈTE — voir fluvial-identification-complete.md pour la version corrigée. Entrées dépassées : N001, N052, N054, N072, N074, N082, N083, N089, N093, N096. Conservé uniquement à titre d'archive de travail.]

| ID | watercourseId | Toponyme Jaillot | Identification proposée | Confiance |
|---|---|---|---|---|
| N001 | almaria | Almaria | Non déterminé (hypothèse : Río Actopan, au nord de La Antigua) | ⚠️ faible |
| N002 | arba-de-canaveral | Arba de Canaveral | Probable « Barra de Cañaveral » — inlet/passe sableuse au droit du Cap Canaveral (pas un vrai fleuve) | ⚠️ faible |
| N003 | atoyac-r | Atoyac R. | **Río Balsas** (embouchure à Zacatula ; « Atoyac » = ancien nom du cours amont/moyen du Balsas) | ✅ fort |
| N004 | auyamas | Auyamas | Non déterminé (tributaire mineur andin, bassin Táchira/Cesar) | ⚠️ faible |
| N005 | barania-r | Barania R. | Système Cuautitlán–Tula, en amont du Moctezuma/Pánuco, via le **Desagüe de Huehuetoca** | ✅ fort |
| N006 | bariquicometo-r | Bariquicometo R. | Non déterminé (bras du delta sud de l'Orénoque, près de Porto Morequito) | ⚠️ faible |
| N007 | boccades-r | Boccades R. | Une des bouches du delta du Río San Juan (non tranché laquelle) | ⚠️ faible |
| N008 | brave-north-river | Brave (North) River | **Rio Bravo del Norte / Rio Grande** | ✅ fort |
| N009 | buria-o-de-san-pedro | Buria o de San Pedro | **Río Buría** (Yaracuy, région de Barquisimeto) | ✅ fort |
| N010 | capuri-river | Capuri River | Non déterminé (bras/affluent du delta sud, lié à Bariquicometo) | ⚠️ faible |
| N011 | caturi-voari-river | Caturi Voari River | Non déterminé (bras du delta sud, près d'Ariacoa/Macurevoari) | ⚠️ faible |
| N012 | cempel-r | Cempel R. | Non déterminé (petit cours/lagune entre La Antigua et Veracruz) | ⚠️ faible |
| N013 | cenu | Cenu | **Río Sinú** | ✅ fort |
| N014 | cesar-pompatao | Cesar Pompatao | **Río Cesar** (Pompatao = nom chimila du fleuve) | ✅ fort |
| N015 | chagre-r | Chagre R. | **Río Chagres** | ✅ fort |
| N016 | cheapo-r | Cheapo R. | **Río Chepo** (= Río Bayano moderne) | ✅ fort |
| N017 | chequapeque | Chequapeque | Non déterminé (petit cours côtier Tabasco/Chiapas, secteur delta Grijalva) | ⚠️ faible |
| N018 | congo-r | Congo R. | Petit cours côtier du Darién près de Santa María la Antigua (identité moderne incertaine) | ⚠️ faible |
| N019 | coyrama-r | Coyrama R. | Non déterminé (petit affluent au nord d'Aromaia) | ⚠️ faible |
| N020 | escambia-r | Escambia R. | **Escambia River** (toponyme inchangé) | ✅ fort |
| N021 | europa-river | Europa River | Non déterminé (cours côtier, péninsule de Paria) | ⚠️ faible |
| N022 | gold-river | Gold River | Cours aurifère côtier près de Santa María la Antigua del Darién (hyp. — distinct des mines de Cana/Tuira) | ⚠️ faible |
| N023 | lac-de-caslipa | Lac de Caslipa | **Lac Cassipa** — lac légendaire de la cartographie de Guiane post-Ralegh/Hondius (voisin du mythe du Lac Parime/Manoa-El Dorado) | 🎲 convention cartographique |
| N024 | lac-de-mexico | Lac de Mexico | Lacs de la vallée de Mexico (Texcoco/Zumpango), drainés vers le Pánuco par le Desagüe de Huehuetoca | ✅ fort |
| N025 | lac-maracaibo | Lac Maracaibo | **Lac de Maracaibo** (lui-même) | ✅ fort |
| N026 | lac-nicaragua | Lac Nicaragua | **Lac Nicaragua (Cocibolca)** | ✅ fort |
| N027 | logwood-creek | Logwood Creek | Site anglais de coupe du bois de Campêche, rive est de la **Laguna de Términos** (zone Sabancuy/Isla Aguada) | ✅ fort |
| N028 | marpequeue | Marpequeue | Non déterminé (piste faible : baie type « Mar Pequeño », St. Andrew Bay ?) | Non déterminé |
| N029 | matapec-r | Matapec R. | **Río Verde** (Oaxaca), entre Pinotepa et Puerto Escondido — hypothèse | ⚠️ moyen |
| N030 | may-r | May R. | **St. Johns River** (« River of May » français, Fort Caroline 1564) | ✅ fort |
| N031 | meracaybo-river | Meracaybo River | Non déterminé précisément — tributaire sud du lac (Chama/Escalante/Motatán ?), distinct du lac | ⚠️ moyen/faible |
| N032 | mississippi | Mississippi | **Fleuve Mississippi** | ✅ fort |
| N033 | n-segovia-river | N. Segovia River | **Río Segovia**, cours supérieur du Río Coco/Wangki | ✅ fort |
| N034 | nieves-r | Nieves R. | Non déterminé (toponyme sanctoral espagnol transposé, pas de piste fiable) | Non déterminé |
| N035 | ochio-ou-belle-riviere | Ochio ou Belle Rivière | **Ohio River** (« la Belle Rivière » = nom français historique de l'Ohio) | ✅ fort |
| N036 | orenoque | Orénoque | **Fleuve Orénoque** | ✅ fort |
| N037 | ostras | Ostras | Non déterminé (piste faible : baie ostréicole, Choctawhatchee/St. Andrew Bay) | ⚠️ faible |
| N038 | ovarabiche-r | Ovarabiche R. | Non déterminé (cours côtier, péninsule de Paria/Golfe de Paria) | ⚠️ faible |
| N039 | panuco | Panuco | **Río Pánuco** (embouchure à Tampico) | ✅ fort |
| N040 | pato-r | Pato R. | Non déterminé — secteur Llanos de Barinas (hyp. Caño/Río El Pato) | ⚠️ faible |
| N041 | perdido | Perdido | **Perdido River** (toponyme inchangé) | ✅ fort |
| N042 | r-amacuro | R. Amacuro | **Río/Rivière Amacuro** (frontière Venezuela–Guyana) | ✅ fort |
| N043 | r-auzuelos | R. Auzuelos | Río Colorado (distributaire méridional du San Juan, Costa Rica) — hypothèse | ⚠️ moyen |
| N044 | r-belem | R. Belem | **Río Belén** (Veraguas/Colón, site de la colonie de Colomb 1503) | ⚠️ moyen/fort |
| N045 | r-berbice | R. Berbice | **Rivière Berbice** (Guyana) | ✅ fort |
| N046 | r-buchia | R. Buchia | **Río Ranchería** (« Río de la Hacha », embouchure à Riohacha) | ⚠️ moyen/fort |
| N047 | r-caranaco | R. Caranaco | Cours de la région Talamanca/Bocas del Toro (Río Changuinola ou San San — hyp.) | ⚠️ faible |
| N048 | r-copanama | R. Copanama | Non déterminé (complexe deltaïque à l'est de Paramaribo — Commewijne/Cottica ?) | ⚠️ faible |
| N049 | r-coqueto | R. Coqueto | Petit cours côtier entre Chagres et R. Belém (Río Indio ou Río Miguel de la Borda — hyp.) | ⚠️ faible |
| N050 | r-corretine | R. Corretine | **Corantijn / Courantyne** (frontière Suriname–Guyana) | ✅ fort |
| N051 | r-de-costaricha | R. de Costaricha | Río Frío (affluent sud du San Juan, frontière CR/Nicaragua) — hypothèse | ⚠️ moyen |
| N052 | r-de-los-yopes | R de los Yopes | **Río Papagayo** (territoire historique de Yopitzinco, Costa Chica) — hypothèse | ⚠️ moyen |
| N053 | r-de-medelin | R. de Medelin | **Río Jamapa** (passe par Medellín de Bravo) | ✅ fort |
| N054 | r-de-vera-cruz | R. de Vera Cruz | Possible alias du système Huitzilapan/La Antigua (historiquement aussi nommé « de la Vera Cruz ») ou petit cours côtier au sud du port | ⚠️ moyen |
| N055 | r-dulce | R. Dulce | **Río Dulce** (Guatemala), exutoire du lac Izabal | ✅ fort |
| N056 | r-essequebe | R. Essequebe | **Rivière Essequibo** (Guyana) | ✅ fort |
| N057 | r-flores | R. Flores | Non déterminé | Non déterminé |
| N058 | r-galer | R. Galer | Non déterminé (côte oaxaquenne entre Puerto Escondido et Tehuantepec) | ⚠️ faible |
| N059 | r-granda | R. Granda | Río Sico/Tinto (Black River), Honduras — hypothèse | ⚠️ moyen/faible |
| N060 | r-guaiapo | R. Guaiapo | Affluent du précédent, peut-être Río Paulaya — hypothèse | ⚠️ faible |
| N061 | r-guazacoalco-ou-guashigwalp | R. Guazacoalco - ou Guashigwalp | **Río Coatzacoalcos** (toponyme direct), mais position cartographique douteuse (placé près de Villahermosa/Tabasco plutôt qu'à l'isthme) | ⚠️ moyen |
| N062 | r-lempa | R. Lempa | **Río Lempa** (Salvador) | ✅ fort |
| N063 | r-marateka | R. Marateka | Non déterminé (complexe deltaïque à l'est de Paramaribo — Commewijne/Cottica ?) | ⚠️ faible |
| N064 | r-marrawini | R. Marrawini | **Commewijne** (hypothèse ; forme historique « Camaiwini/Cammawini » très proche) — Marowijne/Maroni écarté en 1er choix malgré la ressemblance phonétique, la topologie (affluent direct du Suriname) ne collant pas | ⚠️ moyen |
| N065 | r-maryowapaneko | R. Maryowapaneko | Non déterminé (bras du delta de l'Orénoque, embouchure ouest) | ⚠️ faible |
| N066 | r-michataya | R Michataya | **Río Michatoya** (exutoire du lac Amatitlán, Guatemala) | ✅ fort |
